Posição;Nome do Deputado;Qtd de Despesas;Total Gasto
130º;Daniel Trzeciak;680;R$ 508.895,54
131º;Mauro Benevides Filho;168;R$ 508.430,68
132º;Ricardo Salles;341;R$ 508.098,54
133º;Eduardo da Fonte;565;R$ 507.876,67
134º;Renilce Nicodemos;157;R$ 507.340,90
135º;José Airton Félix Cirilo;157;R$ 507.332,35
136º;Elmar Nascimento;203;R$ 507.039,63
137º;Filipe Martins;262;R$ 506.686,26
138º;Socorro Neri;229;R$ 506.430,06
139º;Dr. Francisco;383;R$ 505.529,88
140º;Tabata Amaral;536;R$ 505.193,90
141º;Dr. Frederico;245;R$ 505.182,04
142º;Pedro Lucas Fernandes;355;R$ 504.460,28
143º;Zé Trovão;572;R$ 504.217,35
144º;Tião Medeiros;297;R$ 503.995,48
145º;Sergio Souza;645;R$ 503.635,35
146º;Beto Pereira;229;R$ 503.584,25
147º;Arlindo Chinaglia;319;R$ 503.565,26
148º;Mauricio Neves;130;R$ 502.746,83
149º;Paulo Folletto;222;R$ 502.689,29
150º;Luiz Couto;412;R$ 502.598,34
151º;Capitão Alden;229;R$ 502.597,41
152º;Rubens Pereira Júnior;111;R$ 502.278,21
153º;Evair Vieira de Melo;347;R$ 502.260,31
154º;Jilmar Tatto;169;R$ 502.216,36
155º;Bruno Farias;750;R$ 502.030,56
156º;Fernando Monteiro;433;R$ 501.863,72
157º;Stefano Aguiar;386;R$ 501.116,23
158º;Fausto Pinato;356;R$ 501.088,80
159º;Valmir Assunção;448;R$ 501.029,21
160º;Vermelho;375;R$ 500.850,59
161º;Bibo Nunes;848;R$ 500.755,03
162º;Thiago Flores;447;R$ 500.706,22
163º;Osmar Terra;667;R$ 500.340,08
164º;Mendonça Filho;351;R$ 499.891,24
165º;Odair Cunha;838;R$ 499.498,68
166º;Samuel Viana;972;R$ 499.142,27
167º;Ricardo Ayres;580;R$ 498.853,76
168º;Ismael;558;R$ 498.584,86
169º;Leur Lomanto Júnior;207;R$ 498.204,75
170º;Olival Marques;147;R$ 498.180,16
171º;Arnaldo Jardim;694;R$ 498.154,30
172º;Nely Aquino;421;R$ 498.073,88
173º;Dr. Zacharias Calil;534;R$ 497.946,39
174º;Weliton Prado;166;R$ 497.290,76
175º;Marangoni;492;R$ 497.027,05
176º;Tadeu Veneri;1027;R$ 496.922,77
177º;Lincoln Portela;494;R$ 495.552,66
178º;Pedro Lupion;246;R$ 495.416,34
179º;José Nelto;262;R$ 495.383,31
180º;Magda Mofatto;201;R$ 494.889,71
181º;André Janones;428;R$ 494.872,76
182º;Ana Paula Lima;450;R$ 494.347,87
183º;Mauricio do Vôlei;335;R$ 493.301,06
184º;Camila Jara;576;R$ 492.935,74
185º;Castro Neto;536;R$ 492.428,67
186º;Murilo Galdino;242;R$ 492.427,34
187º;Delegado Marcelo Freitas;446;R$ 491.241,99
188º;Paulão;378;R$ 490.765,25
189º;Toninho Wandscheer;301;R$ 490.361,10
190º;Welter;725;R$ 490.351,40
191º;Célio Silveira;259;R$ 490.093,95
192º;Rafael Brito;413;R$ 490.068,85
193º;Pastor Diniz;188;R$ 490.049,39
194º;Rogéria Santos;290;R$ 490.010,96
195º;Zeca Dirceu;490;R$ 489.544,85
196º;Maria Rosas;462;R$ 489.517,14
197º;Vitor Lippi;945;R$ 489.411,92
198º;Delegada Ione;763;R$ 489.331,07
199º;Rubens Otoni;238;R$ 488.530,73
200º;Jorge Solla;1444;R$ 488.032,17
201º;Nilto Tatto;535;R$ 487.058,31
202º;Altineu Côrtes;182;R$ 486.967,01
203º;Coronel Fernanda;400;R$ 486.220,52
204º;João Carlos Bacelar;391;R$ 485.972,32
205º;Carlos Sampaio;451;R$ 485.859,62
206º;Diego Coronel;486;R$ 485.433,90
207º;Zé Vitor;406;R$ 485.352,28
208º;Professor Alcides;50;R$ 484.974,59
209º;Rafael Simoes;332;R$ 484.972,26
210º;Aguinaldo Ribeiro;529;R$ 484.244,28
211º;Ana Paula Leão;537;R$ 483.474,77
212º;Padovani;592;R$ 483.087,09
213º;Marcelo Álvaro Antônio;588;R$ 482.826,66
214º;Messias Donato;302;R$ 482.319,71
215º;Rodolfo Nogueira;342;R$ 482.312,17
216º;Felipe Francischini;423;R$ 481.925,31
217º;Antônio Doido;182;R$ 481.125,20
218º;Dani Cunha;619;R$ 480.942,77
219º;Moses Rodrigues;175;R$ 480.882,98
220º;Aécio Neves;366;R$ 480.654,04
221º;Claudio Cajado;516;R$ 480.366,33
222º;Dr. Ismael Alexandrino;258;R$ 479.843,11
223º;Leonardo Monteiro;295;R$ 479.663,87
224º;Misael Varella;172;R$ 479.397,80
225º;Pr. Marco Feliciano;140;R$ 478.693,83
226º;Paulo Azi;241;R$ 478.660,58
227º;Fernando Mineiro;392;R$ 478.548,35
228º;Célia Xakriabá;817;R$ 478.457,75
229º;Marcos Pollon;219;R$ 477.975,00
230º;Diego Garcia;1279;R$ 477.016,11
231º;Josivaldo JP;188;R$ 476.954,30
232º;Alencar Santana;178;R$ 475.932,81
233º;Jefferson Campos;424;R$ 475.920,30
234º;Roberta Roma;413;R$ 475.879,85
235º;Zé Silva;330;R$ 475.794,90
236º;José Rocha;258;R$ 475.644,06
237º;Alfredinho;272;R$ 475.249,34
238º;Reginaldo Lopes;459;R$ 474.892,43
239º;Julio Lopes;209;R$ 474.851,22
240º;Carlos Zarattini;924;R$ 474.672,18
241º;Bacelar;213;R$ 473.815,24
242º;Erika Hilton;583;R$ 473.706,90
243º;Denise Pessôa;1993;R$ 473.706,30
244º;Juninho do Pneu;335;R$ 473.578,94
245º;Giacobo;93;R$ 473.510,16
246º;Dr. Fernando Máximo;323;R$ 473.087,01
247º;Saulo Pedroso;361;R$ 472.798,82
248º;Vinicius Carvalho;557;R$ 472.641,44
249º;Pedro Aihara;893;R$ 472.358,13
250º;Márcio Marinho;278;R$ 472.305,86
251º;Fabio Schiochet;561;R$ 471.963,73
252º;Amaro Neto;171;R$ 471.491,50
253º;Max Lemos;301;R$ 471.417,20
254º;Pastor Henrique Vieira;371;R$ 469.710,51
255º;Capitão Alberto Neto;233;R$ 469.423,11
256º;Vander Loubet;409;R$ 469.164,07
257º;Marcelo Crivella;329;R$ 468.620,47
258º;Reimont;538;R$ 468.128,79
259º;Sidney Leite;272;R$ 468.116,23
260º;Damião Feliciano;126;R$ 466.113,03
261º;Diego Andrade;470;R$ 465.376,57
262º;Marcos Pereira;149;R$ 464.229,52
263º;Ana Pimentel;717;R$ 464.197,01
264º;Luiz Lima;432;R$ 463.289,52
265º;Julia Zanatta;649;R$ 463.045,47
266º;Padre João;670;R$ 462.505,38
267º;Marx Beltrão;221;R$ 462.470,88
268º;Dimas Gadelha;115;R$ 462.013,21
269º;Delegado Paulo Bilynskyj;568;R$ 461.742,76
270º;Idilvan Alencar;527;R$ 461.667,50
271º;Gilberto Abramo;221;R$ 461.117,34
272º;Igor Timo;445;R$ 460.791,37
273º;Mauricio Marcon;323;R$ 460.122,58
274º;Glaustin da Fokus;20;R$ 460.077,70
275º;Mário Negromonte Jr.;230;R$ 459.977,16
276º;Chris Tonietto;886;R$ 459.726,11
277º;Rogério Correia;832;R$ 459.102,08
278º;Otoni de Paula;311;R$ 458.764,37
279º;Sóstenes Cavalcante;384;R$ 458.403,83
280º;Lafayette de Andrada;463;R$ 458.175,96
281º;Da Vitoria;384;R$ 457.961,46
282º;Sâmia Bomfim;241;R$ 457.843,33
283º;Luciano Ducci;589;R$ 457.176,80
284º;Luiz Philippe de Orleans e Bragança;708;R$ 456.976,60
285º;Sargento Portugal;279;R$ 456.804,00
286º;João Daniel;142;R$ 456.784,50
287º;Chico Alencar;537;R$ 456.460,28
288º;Mario Frias;349;R$ 455.980,19
289º;Rosângela Reis;238;R$ 455.863,51
290º;André Figueiredo;305;R$ 455.131,51
291º;Delegado Palumbo;612;R$ 455.120,47
292º;Dandara;224;R$ 454.135,91
293º;Dr. Victor Linhalis;203;R$ 452.125,16
294º;Alberto Fraga;59;R$ 452.034,40
295º;Professora Luciene Cavalcante;417;R$ 451.771,71
296º;Daniela Reinehr;741;R$ 451.635,77
297º;Emidinho Madeira;526;R$ 451.251,02
298º;Pastor Eurico;530;R$ 451.202,54
299º;Delegado da Cunha;169;R$ 450.148,51
300º;Fernando Coelho Filho;322;R$ 449.647,11
301º;Fred Linhares;320;R$ 449.439,35
302º;Ricardo Maia;225;R$ 448.065,07
303º;Hugo Motta;400;R$ 447.060,15
304º;Rodrigo de Castro;552;R$ 446.516,07
305º;Greyce Elias;896;R$ 446.164,94
306º;Aureo Ribeiro;209;R$ 445.830,24
307º;Bandeira de Mello;771;R$ 445.733,91
308º;Jack Rocha;445;R$ 443.696,70
309º;Félix Mendonça Júnior;269;R$ 442.768,27
310º;Rodrigo Valadares;265;R$ 442.655,78
311º;Tarcísio Motta;642;R$ 441.865,18
312º;Florentino Neto;175;R$ 441.107,51
313º;Luciano Vieira;291;R$ 440.963,29
314º;Eduardo Velloso;310;R$ 440.128,17
315º;Robinson Faria;265;R$ 440.085,72
