data_referencia,ano,trimestre,mes,ipca_alimentos_acumulado_trimestre_pct,quantidade_meses_ipca_no_trimestre,rendimento_real_medio_reais,rendimento_real_variacao_trimestral_pct,indicador_pressao_alimentar,classificacao_pressao,quantidade_registros_agregados
2012-01-01,2012,1,1,1.3042630849999792,3,2995.0,,,sem_classificacao,33
2012-04-01,2012,2,4,1.9321803164000118,3,2811.030303030303,-6.142560833712752,8.074741150112764,alta_pressao,33
2012-07-01,2012,3,7,3.080662900800002,3,2830.0,0.6748307533094744,2.4058321474905275,alta_pressao,32
2012-10-01,2012,4,10,3.2129996632000113,3,2849.060606060606,0.6735196487846595,2.5394800144153518,alta_pressao,33
2013-01-01,2013,1,1,4.648399947000015,3,2961.969696969697,3.9630287495080907,0.6853711974919241,pressao_moderada,33
2013-04-01,2013,2,4,1.313485190400021,3,2851.21875,-3.739097907821376,5.0525830982213975,alta_pressao,32
2013-07-01,2013,3,7,-0.18048104619998728,3,2909.242424242424,2.0350481436201218,-2.215529189820109,sem_pressao,33
2013-10-01,2013,4,10,2.499970335199997,3,2941.121212121212,1.0957762616530475,1.4041940735469494,alta_pressao,33
2014-01-01,2014,1,1,3.351674316800013,3,3041.909090909091,3.4268522620727992,-0.07517794527278632,sem_pressao,33
2014-04-01,2014,2,4,1.6649474078000104,3,2927.848484848485,-3.7496388830778105,5.414586290877821,alta_pressao,33
2014-07-01,2014,3,7,0.477886755000001,3,2925.4848484848485,-0.08072946314907625,0.5586162181490772,pressao_moderada,33
2014-10-01,2014,4,10,2.3268642535999806,3,2971.0,1.555815663811222,0.7710485897887587,pressao_moderada,32
2015-01-01,2015,1,1,3.4989212595999852,3,3038.848484848485,2.283691849494618,1.2152294101053673,alta_pressao,33
2015-04-01,2015,2,4,2.998114720699996,3,2894.2727272727275,-4.7575836142079275,7.755698334907923,alta_pressao,33
2015-07-01,2015,3,7,0.8814708439999874,3,2854.939393939394,-1.3590057689690238,2.2404766129690112,alta_pressao,33
2015-10-01,2015,4,10,4.153302365,3,2899.0625,1.5455006209334154,2.6078017440665846,alta_pressao,32
2016-01-01,2016,1,1,4.645883683199981,3,3096.3030303030305,6.803597035353004,-2.1577133521530234,sem_pressao,33
2016-04-01,2016,2,4,2.601839364199998,3,2822.3030303030305,-8.849263050754564,11.451102414954562,alta_pressao,33
2016-07-01,2016,3,7,1.3292505159999912,3,2842.090909090909,0.7011252362137066,0.6281252797862846,pressao_moderada,33
2016-10-01,2016,4,10,-0.17009991999999974,3,2911.818181818182,2.4533793941720283,-2.623479314172028,sem_pressao,33
2017-01-01,2017,1,1,0.2380796450000222,3,3155.5151515151515,8.36923717348319,-8.131157528483168,sem_pressao,33
2017-04-01,2017,2,4,-0.27316984999998795,3,2871.333333333333,-9.005877155917496,8.732707305917508,alta_pressao,33
2017-07-01,2017,3,7,-1.9386776189000088,3,2907.090909090909,1.245330012453305,-3.184007631353314,sem_pressao,33
2017-10-01,2017,4,10,0.10786902600001813,3,2971.242424242424,2.206725457085068,-2.09885643108505,sem_pressao,33
2018-01-01,2018,1,1,0.47784329060001074,3,3179.121212121212,6.996359037643685,-6.518515747043674,sem_pressao,33
2018-04-01,2018,2,4,2.448616846400009,3,2906.0,-8.591091496601877,11.039708343001886,alta_pressao,33
2018-07-01,2018,3,7,-0.36005159200001025,3,2924.4242424242425,0.6340069657344349,-0.9940585577344452,sem_pressao,33
2018-10-01,2018,4,10,1.426623124400006,3,3036.064516129032,3.8175129341782466,-2.3908898097782405,sem_pressao,31
2019-01-01,2019,1,1,3.080132173999983,3,3204.909090909091,5.561297326953207,-2.481165152953224,sem_pressao,33
2019-04-01,2019,2,4,-0.1836941800000158,3,2901.878787878788,-9.455191845842547,9.271497665842531,alta_pressao,33
2019-07-01,2019,3,7,-0.7685728494999933,3,2917.242424242424,0.5294375639606441,-1.2980104134606374,sem_pressao,33
2019-10-01,2019,4,10,4.176398168000017,3,3003.0,2.939679439902787,1.2367187280972303,alta_pressao,33
2020-01-01,2020,1,1,1.6360838477000206,3,3181.121212121212,5.931442295078648,-4.295358447378628,sem_pressao,33
2020-04-01,2020,2,4,2.4220263247999974,3,2859.7272727272725,-10.103165455290208,12.525191780090205,alta_pressao,33
2020-07-01,2020,3,7,3.088091778399993,3,2937.818181818182,2.730711765266891,0.35738001313310175,pressao_moderada,33
2020-10-01,2020,4,10,6.337652982800046,3,3011.181818181818,2.4972150018566452,3.840437980943401,alta_pressao,33
2021-01-01,2021,1,1,1.424434580200007,3,3102.4848484848485,3.0321327577010893,-1.6076981775010823,sem_pressao,33
2021-04-01,2021,2,4,1.2753795679999902,3,2868.34375,-7.546889345783436,8.822268913783425,alta_pressao,32
2021-07-01,2021,3,7,3.0387230680000155,3,2813.03125,-1.9283776569666733,4.967100724966689,alta_pressao,32
2021-10-01,2021,4,10,1.979020068799997,3,2786.969696969697,-0.9264579990109656,2.9054780678109626,alta_pressao,33
2022-01-01,2022,1,1,4.882389833600009,3,2985.7272727272725,7.131673371751646,-2.2492835381516363,sem_pressao,33
2022-04-01,2022,2,4,3.3702871039999804,3,2813.0,-5.785098803397981,9.15538590739796,alta_pressao,33
2022-07-01,2022,3,7,1.0252500879999848,3,2917.787878787879,3.725129000635574,-2.6998789126355893,sem_pressao,33
2022-10-01,2022,4,10,1.9220911856000056,3,3054.3030303030305,4.678720907287581,-2.7566297216875757,sem_pressao,33
2023-01-01,2023,1,1,0.801319471999995,3,3206.5454545454545,4.984522581157225,-4.18320310915723,sem_pressao,33
2023-04-01,2023,2,4,0.20538650240000678,3,2973.3030303030305,-7.273947229152489,7.4793337315524955,alta_pressao,33
2023-07-01,2023,3,7,-2.0068167610000076,3,3043.5454545454545,2.3624374484044752,-4.369254209404483,sem_pressao,33
2023-10-01,2023,4,10,2.0624086783000317,3,3120.333333333333,2.522974600993644,-0.4605659226936121,sem_pressao,33
2024-01-01,2024,1,1,2.8855284830000105,3,3316.454545454545,6.285264783288502,-3.3997363002884917,sem_pressao,33
