ano,sigla_uf,populacao
2008,MA,6305539
2009,MA,6367138
2013,MA,6794301
1992,MA,4990749
1994,MA,5160974
2016,MA,6954036
2006,MA,6184538
2019,MA,7075181
2025,MA,7018211
2003,MA,5873655
2022,MA,6776699
2000,MA,5657553
2014,MA,6850884
2007,MA,6118995
1996,MA,5222183
2015,MA,6904241
2001,MA,5730467
2002,MA,5803224
1998,MA,5356853
1997,MA,5295452
2023,MA,6776699
2005,MA,6103327
1999,MA,5418349
2012,MA,6714314
2020,MA,7114598
1991,MA,4929676
1995,MG,16505334
1999,MG,17295955
1993,MG,16144856
2005,MG,19237450
2010,MG,19597330
2015,MG,20869101
2013,MG,20593356
2012,MG,19855332
1996,MG,16672613
1992,MG,15941939
2016,MG,20997560
2014,MG,20734097
2001,MG,18127096
2004,MG,18993720
1997,MG,16904977
2019,MG,21168791
2008,MG,19850072
2024,MG,21322691
1994,MG,16327360
2006,MG,19479356
2011,MG,19728701
2007,MG,19273533
1998,MG,17100314
2021,MG,21411923
1991,MG,15743536
2000,MG,17905135
2020,MG,21292666
2017,MG,21119536
2025,MG,21393441
2022,MG,20539989
2009,MG,20033665
2023,MG,20539989
2002,MG,18343517
2003,MG,18553312
2018,MG,21040662
2002,MS,2140624
2025,MS,2924631
2004,MS,2230702
1998,MS,1995578
2015,MS,2651235
2007,MS,2265813
1992,MS,1818175
2010,MS,2449024
2008,MS,2336058
1997,MS,1964603
2006,MS,2297981
1996,MS,1927834
2000,MS,2078070
2009,MS,2360498
2018,MS,2748023
1995,MS,1912788
2023,MS,2757013
1993,MS,1850162
2011,MS,2477542
2012,MS,2505088
2014,MS,2619657
1999,MS,2026600
1991,MS,1780385
2003,MS,2169688
2017,MS,2713147
2019,MS,2778986
2001,MS,2111036
2021,MS,2839188
2024,MS,2901895
2022,MS,2757013
1994,MS,1881868
2013,MS,2587269
2005,MS,2264468
2020,MS,2809394
2016,MS,2682386
2002,MT,2604742
2005,MT,2803274
2012,MT,3115336
2023,MT,3658649
2025,MT,3887782
1994,MT,2246757
2006,MT,2856999
1995,MT,2313634
2008,MT,2957732
2010,MT,3035122
2015,MT,3265486
2011,MT,3075936
1996,MT,2235832
2019,MT,3484466
1999,MT,2375549
2021,MT,3567234
1992,MT,2107698
2004,MT,2749145
1998,MT,2331663
2017,MT,3344544
1997,MT,2287846
2007,MT,2854642
2000,MT,2505245
2001,MT,2560584
2009,MT,3001692
2018,MT,3441998
2014,MT,3224357
2024,MT,3836399
2020,MT,3526220
2013,MT,3182113
2016,MT,3305531
2003,MT,2651335
2022,MT,3658649
1991,MT,2026069
1993,MT,2178178
2008,PA,7321493
2019,PA,8602865
2018,PA,8513497
1992,PA,5328133
2004,PA,6850181
2002,PA,6453683
2009,PA,7397238
2016,PA,8272724
2024,PA,8664306
2003,PA,6574993
2013,PA,7969654
2025,PA,8711196
2015,PA,8175113
1995,PA,5448598
2000,PA,6195965
2017,PA,8366628
2023,PA,8120131
2012,PA,7792561
2021,PA,8777124
2014,PA,8073924
1991,PA,4949222
1994,PA,5332187
2022,PA,8120131
1999,PA,5886454
1998,PA,5768476
2001,PA,6341736
2011,PA,7688593
2006,PA,7110465
1996,PA,5510849
2010,PA,7581051
1997,PA,5650681
2007,PA,7090378
2020,PA,8690745
1993,PA,5212812
2005,PA,6970586
2003,PB,3518595
2010,PB,3766528
2024,PB,4145040
2025,PB,4164468
1992,PB,3229163
2008,PB,3742606
2001,PB,3468594
2015,PB,3972202
1996,PB,3305616
2012,PB,3815171
2022,PB,3974687
2000,PB,3444794
2011,PB,3791315
1995,PB,3340018
2020,PB,4039277
2014,PB,3943885
2021,PB,4059905
2023,PB,3974687
1994,PB,3307583
1993,PB,3274323
1997,PB,3331673
2007,PB,3641397
2009,PB,3769977
2018,PB,3996496
1999,PB,3375609
2004,PB,3568350
2016,PB,3999415
2005,PB,3595886
1991,PB,3201324
2002,PB,3494893
2013,PB,3914421
2019,PB,4018127
2006,PB,3623215
1998,PB,3353624
2017,PB,4025558
1996,PE,7399071
1992,PE,7187355
2020,PE,9616621
2010,PE,8796448
2002,PE,8084667
2016,PE,9410336
2019,PE,9557071
2005,PE,8413593
1994,PE,7371110
2025,PE,9562007
2024,PE,9539029
2006,PE,8502603
2009,PE,8810256
2018,PE,9496294
2022,PE,9058931
2015,PE,9345173
1993,PE,7295118
1998,PE,7523755
1991,PE,7127956
1997,PE,7466773
2003,PE,8161862
2011,PE,8864906
2008,PE,8734194
2014,PE,9277727
2012,PE,8931028
2017,PE,9473266
2001,PE,8008207
1999,PE,7580826
2021,PE,9674793
2013,PE,9208550
2004,PE,8323911
2000,PE,7929153
2007,PE,8486638
2023,PE,9056843
1995,PE,7445216
1998,PI,2714999
2018,PI,3264531
2024,PI,3375646
2021,PI,3289290
2022,PI,3271199
1997,PI,2695876
1991,PI,2582075
2008,PI,3119697
1994,PI,2691615
2001,PI,2873010
2015,PI,3204028
2007,PI,3032435
2017,PI,3219257
2020,PI,3281480
2005,PI,3006885
2012,PI,3160748
1995,PI,2724967
2010,PI,3118360
2014,PI,3194718
2009,PI,3145325
2013,PI,3184166
2004,PI,2977259
2006,PI,3036290
2000,PI,2843427
2003,PI,2923725
2002,PI,2898223
2016,PI,3212180
2011,PI,3140328
1993,PI,2657415
1999,PI,2734152
1996,PI,2673085
2025,PI,3384547
2019,PI,3273227
1992,PI,2610476
2023,PI,3271199
2004,PR,10135388
2017,PR,11320892
1991,PR,8448620
2022,PR,11444380
2003,PR,9906866
1993,PR,8587901
1994,PR,8651138
2023,PR,11444380
2005,PR,10261856
2024,PR,11824665
2010,PR,10444526
2019,PR,11433957
2002,PR,9798006
2006,PR,10387378
2025,PR,11890517
2000,PR,9564643
2008,PR,10590169
2016,PR,11242720
2013,PR,10997465
1997,PR,9142215
2011,PR,10512349
2015,PR,11163018
1992,PR,8511279
2018,PR,11348937
2012,PR,10577755
1995,PR,8712805
2020,PR,11516840
2021,PR,11597484
1996,PR,9003804
1999,PR,9375592
2007,PR,10284503
2009,PR,10686247
2001,PR,9694709
2014,PR,11081692
1998,PR,9258813
2001,RJ,14558545
2002,RJ,14724475
1992,RJ,12916705
2005,RJ,15383407
2024,RJ,17219679
2008,RJ,15872362
2021,RJ,17463349
2016,RJ,16635996
2013,RJ,16369179
2009,RJ,16010429
2006,RJ,15561720
2015,RJ,16550024
2011,RJ,16112678
1997,RJ,13555657
2020,RJ,17366189
1999,RJ,13807358
1993,RJ,13065279
1991,RJ,12807197
2019,RJ,17264943
