 Mortalidade - Brasil
Óbitos p/Ocorrênc por Causa - CID-BR-10 e Unidade da Federação
Período:2019-2024
"Causa - CID-BR-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
". 032 Neopl malig do lábio, cav oral e faringe";298;110;429;84;928;90;233;735;589;2000;796;910;2236;674;541;3597;6108;1505;3988;12141;3308;1941;3298;635;655;1431;721;49981
". 033 Neoplasia maligna do esôfago";299;83;352;66;662;95;242;587;592;2191;797;906;1813;464;372;3733;7867;1587;3415;10302;3743;2270;5391;823;691;1265;582;51190
". 034 Neoplasia maligna do estômago";741;279;1913;202;3598;365;441;1901;917;4735;1524;1737;3579;837;686;5217;8830;1873;6776;21019;5825;3847;5297;967;1069;1921;1206;87302
". 035 Neoplasia maligna do cólon,reto e ânus";646;197;1066;178;2137;128;508;1498;1113;3880;1678;1580;4230;901;869;5917;13415;2697;15770;40757;9392;5286;12262;1688;1533;3849;2193;135368
". 036 Neopl malig do fígado e vias bil intrahepát";555;298;884;133;1681;147;410;1774;1103;2406;909;1272;3042;836;568;4388;6118;1167;5042;16772;4053;2566;5508;801;785;1715;836;65769
". 037 Neoplasia maligna do pâncreas";399;138;609;90;1230;97;353;1035;719;2480;1008;1081;2711;701;584;3979;7438;1413;7592;21451;5353;3412;7432;882;870;1965;1186;76208
". 038 Neoplasia maligna da laringe";185;80;315;33;524;52;166;408;375;1261;465;637;1094;318;313;1727;3009;625;2003;7130;1964;983;1973;379;484;761;310;27574
". 039 Neopl malig da traquéia,brônquios e pulmões";1131;512;1729;257;3538;328;886;3157;2159;8075;2787;2895;6085;1631;1264;8236;16962;3218;16348;44660;11843;9263;21186;2294;2190;5475;2204;180313
". 040 Neoplasia maligna da pele";58;13;76;15;125;10;50;116;121;379;174;115;365;76;89;388;940;241;727;3184;1141;973;1716;112;146;267;153;11770
". 041 Neoplasia maligna da mama";607;195;1316;211;2256;143;465;1713;1426;4715;1816;1931;5263;1364;1116;6796;10713;2214;14111;29542;6962;4479;8631;1302;1362;3114;1817;115580
". 042 Neoplasia maligna do colo do útero";400;263;1690;197;2290;219;369;2091;930;2012;763;834;2273;790;491;2787;2771;976;3372;6556;2238;1438;2515;530;720;1257;742;41514
". 043 Neopl malig de corpo e partes n/esp útero";104;35;252;34;524;88;121;336;233;830;340;460;1362;328;249;1439;2524;411;3498;6312;1453;718;1546;302;215;662;364;24740
". 044 Neoplasia maligna do ovário";104;37;311;38;513;35;125;448;337;1090;381;378;1288;313;242;1475;2478;426;2476;6616;1649;922;1873;288;262;726;476;25307
". 045 Neoplasia maligna da próstata";688;231;1124;180;2409;227;774;2370;1581;4150;1685;2041;4769;1218;1036;8855;10125;2023;9298;20539;6325;3375;7434;1344;1601;3005;1231;99638
". 046 Neoplasia maligna da bexiga";171;47;193;30;412;28;121;334;237;858;321;393;1007;259;209;1605;3163;625;3219;8599;2109;1443;2690;306;307;815;394;29895
". 047 Neopl malig mening,encéf e out partes SNC";383;158;645;127;1499;120;352;1129;846;2316;786;1165;2326;704;413;3284;5863;1195;5106;14727;4384;2548;4843;710;819;1925;946;59319
". 048 Linfoma não-Hodgkin";130;48;189;49;465;49;97;441;350;1109;427;479;998;236;215;1331;2694;553;2408;7125;1914;1346;2589;322;271;682;461;26978
". 049 Mieloma mult e neopl malig de plasmócitos";95;46;125;30;353;31;125;435;266;807;317;368;826;237;204;1388;2788;501;1994;6092;1433;755;1529;251;221;632;464;22313
". 050 Leucemia";302;130;524;89;1113;85;208;930;620;1847;769;716;1637;517;378;2423;4369;855;3363;10836;3099;1772;3556;563;556;1163;771;43191
". 051 Neoplasias in situ, benig, comport incert";205;73;329;57;1038;49;132;809;625;1492;559;555;1096;441;262;1801;4074;558;2418;7618;1215;1102;1669;419;433;518;470;30017
". 052 Restante de neoplasias malignas";1680;528;2853;483;5944;593;1260;5199;3761;11543;4317;5720;11313;3101;2092;15926;31423;4395;24793;63021;15969;10149;18486;2831;3227;6616;3106;260329
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";282;212;725;102;1569;121;255;1310;788;1731;776;853;1864;631;451;3896;5233;577;5735;8737;1955;1005;1886;491;702;1134;540;43561
". 053 Anemias";177;164;494;62;1079;68;192;883;544;1095;524;618;1107;453;301;2738;3412;317;4309;5068;1081;489;1141;263;426;717;265;27987
". 054 Rest d sangue, org hemat e alg transt imunit";105;48;231;40;490;53;63;427;244;636;252;235;757;178;150;1158;1821;260;1426;3669;874;516;745;228;276;417;275;15574
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";3926;1384;8696;1112;17206;1392;4046;19201;10520;18225;9775;14196;30760;10969;6202;45204;52888;11866;50469;105011;30932;17189;39748;5682;8848;14831;4760;545038
". 055 Diabetes mellitus";3282;933;7054;772;14064;1189;3404;16363;8894;14105;8059;11348;25573;9125;5130;36909;40494;9842;41511;81597;25433;14123;33473;3988;6780;11648;3798;438891
". 056 Desnutrição";177;227;691;203;1315;62;181;912;385;1220;567;1058;1605;644;211;3085;3454;485;1596;4541;968;424;1424;584;739;716;99;27573
". 057 Rest doenças endócr, nutricion e metabólicas";467;224;951;137;1827;141;461;1926;1241;2900;1149;1790;3582;1200;861;5210;8940;1539;7362;18873;4531;2642;4851;1110;1329;2467;863;78574
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";444;127;617;52;1598;128;794;2293;1713;6005;1577;1779;6166;1639;1990;8560;17677;1819;7577;20426;7333;2414;7297;650;1456;3031;2155;107317
". 058 Transt ment e comport uso subst psicoativas";278;91;530;43;902;99;668;1775;1434;2834;895;1235;5037;1313;1426;6871;10860;1595;3774;8772;5760;1766;4791;554;1126;2577;897;67903
"... 058.1 Trans ment e comport devid uso álcool";167;63;387;33;541;62;538;1169;1043;2087;626;809;3419;1013;991;5363;7906;1369;2392;5750;4004;1041;3197;405;811;1892;717;47795
". 059 Rest transtornos mentais e comportamentais";166;36;87;9;696;29;126;518;279;3171;682;544;1129;326;564;1689;6817;224;3803;11654;1573;648;2506;96;330;454;1258;39414
"060-063 DOENÇAS DO SISTEMA NERVOSO";1509;529;2642;386;5779;444;1338;4650;4179;14111;4679;5005;11935;2783;2574;16147;36333;8381;24669;77231;24609;11756;31394;3546;3517;9186;4106;313418
". 060 Meningite";27;21;54;14;142;21;32;99;41;146;53;70;201;42;33;276;455;97;357;1697;331;204;305;63;78;145;52;5056
". 061 Doença de Alzheimer";652;165;1136;107;2308;130;550;1801;1891;6936;2719;2849;6211;1293;1259;7695;19436;4879;13770;42967;11422;6536;15712;1828;1754;4791;2051;162848
". 062 Epilepsia";149;67;337;53;533;46;202;484;527;1069;418;430;1372;321;246;1919;4038;555;1717;4553;2237;775;1456;358;371;1005;407;25645
". 063 Restante das doenças do sistema nervoso";681;276;1115;212;2796;247;554;2266;1720;5960;1489;1656;4151;1127;1036;6257;12404;2850;8825;28014;10619;4241;13921;1297;1314;3245;1596;119869
"064 DOENÇAS DOS OLHOS E ANEXOS";1;4;3;-;6;-;1;5;3;8;5;3;18;7;1;20;18;5;17;26;6;3;4;3;-;3;-;170
"065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE";10;3;26;9;27;4;10;56;16;72;31;23;62;35;25;76;171;43;160;337;52;40;52;16;26;38;15;1435
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";13289;5525;23337;3847;62701;4851;15088;66681;41517;93748;37575;47592;106622;38105;20288;150936;222692;44441;229589;561475;131393;76630;140082;32373;29580;69032;22327;2291316
". 066 Febre reumát aguda e doen reum crôn coração";79;32;132;24;310;34;98;305;146;577;285;266;800;253;267;950;1825;346;918;2752;1070;536;688;157;189;601;267;13907
". 067 Doenças hipertensivas";2572;737;4356;527;9237;724;3240;11911;8670;13971;6092;8993;18926;7801;4073;33568;46524;9209;44913;65952;24131;12419;21271;4829;6223;10626;2592;384087
". 068 Doenças isquêmicas do coração";3670;1711;6171;1213;20274;1454;4452;20642;12499;29477;15445;16532;35064;11406;5496;39359;50505;15562;68034;191038;34556;22816;43359;12279;8996;22341;6870;701221
"... 068.1 Infarto agudo do miocárdio";3231;1547;5197;1106;18545;1256;3970;18889;10298;24358;11804;13973;29213;9750;4690;34180;40684;12286;59309;149170;26689;16843;30715;10721;7881;17076;4728;568109
". 069 Outras doenças cardíacas";2779;1153;3769;673;10425;845;2294;9817;5495;19297;5398;8172;16201;6041;3203;25601;53241;5015;47168;133123;25830;16784;24634;5687;5078;14012;4028;455763
". 070 Doenças cerebrovasculares";3700;1676;8250;1277;20426;1672;4354;21496;13319;26022;8606;11797;29884;11176;6277;45422;59699;11844;58861;133524;39292;19508;43012;7892;7725;17806;6946;621463
". 071 Aterosclerose";14;4;12;5;39;2;17;129;233;98;98;120;180;193;6;194;228;174;203;2168;166;207;216;51;42;80;75;4954
". 072 Rest doenças do aparelho circulatório";475;212;647;128;1990;120;633;2381;1155;4306;1651;1712;5567;1235;966;5842;10670;2291;9492;32918;6348;4360;6902;1478;1327;3566;1549;109921
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";5572;3787;10874;1689;30784;2621;4896;22323;14839;46420;14928;20756;49260;12518;7838;52724;110808;13358;103141;252366;54781;31176;60679;13895;11543;30967;8971;993514
". 073 Influenza (gripe)";94;57;348;20;457;17;95;497;224;504;163;186;548;162;273;568;608;245;690;2418;693;369;690;279;101;361;98;10765
". 074 Pneumonia";2405;1750;5605;992;16478;1465;2098;11111;8871;26376;8470;11477;16916;6779;3615;20752;53590;5443;62717;130603;24698;13253;22646;7332;4787;13376;4260;487865
". 075 Out infec agudas das vias aéreas inferiores";28;46;134;46;156;10;47;162;152;262;84;182;1278;96;136;1979;520;86;515;1179;297;225;445;112;100;109;84;8470
"... 075.1 Bronquiolite";17;40;92;13;86;7;26;105;52;65;27;40;271;47;73;167;211;51;359;580;87;110;137;47;57;68;65;2900
". 076 Doenças crônicas das vias aéreas inferiores";2221;1402;2429;361;7114;614;1966;5150;3099;8633;3416;5086;12050;3316;2301;15221;33992;6045;19981;65684;22699;12915;28573;4525;4965;13118;2988;289864
"... 076.1 Asma";91;34;125;36;388;20;109;408;307;591;238;348;877;262;217;1389;1890;466;1440;3074;1009;539;1476;133;154;425;213;16259
". 077 Restante  doenças do aparelho respiratório";824;532;2358;270;6579;515;690;5403;2493;10645;2795;3825;18468;2165;1513;14204;22098;1539;19238;52482;6394;4414;8325;1647;1590;4003;1541;196550
"078-082 DOENÇAS DO APARELHO DIGESTIVO";2307;1091;5183;845;11967;901;2801;12052;7079;19287;6982;8813;22661;7019;4286;29861;46049;7674;35912;109451;28181;13696;25261;6109;5896;15309;5981;442654
". 078 Úlcera gástrica, duodenal e péptica";140;48;189;61;840;33;207;1175;561;1169;399;476;1354;294;162;1432;2054;675;2157;7246;1648;824;1527;403;349;922;320;26665
". 079 Peritonite";59;48;278;10;311;20;51;218;126;713;163;152;978;120;78;928;1712;165;796;2536;451;282;508;113;111;195;104;11226
". 080 Doenças do fígado";896;486;2069;351;4058;356;1005;4444;2656;7152;2889;3703;9024;3283;1834;11872;16541;3107;9828;41025;10598;4530;8475;2257;2260;5601;2267;162567
"... 080.1 Doença alcoólica do fígado";211;139;682;97;1231;108;542;1890;1376;3234;1438;1505;4120;1427;837;5289;6323;1516;2034;14529;5050;2069;3552;1032;882;2872;1196;65181
"... 080.2 Fibrose e cirrose do fígado";404;177;816;133;1716;140;263;1303;565;2523;873;1043;1257;506;467;2905;6862;1104;4801;16535;3584;1563;3581;822;854;1823;613;57233
"... 080.3 Outras doenças do fígado";281;170;571;121;1111;108;200;1251;715;1395;578;1155;3647;1350;530;3678;3356;487;2993;9961;1964;898;1342;403;524;906;458;40153
". 081 Colecistite";61;24;111;32;376;38;54;202;134;516;199;235;466;131;110;621;1221;254;1056;2899;924;560;1000;139;170;411;210;12154
". 082 Rest doenças do aparelho digestivo";1151;485;2536;391;6382;454;1484;6013;3602;9737;3332;4247;10839;3191;2102;15008;24521;3473;22075;55745;14560;7500;13751;3197;3006;8180;3080;230042
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";125;47;391;118;1542;74;175;1522;913;2852;1115;1203;3811;925;820;4126;5194;976;7215;13202;2056;1175;2321;723;372;1099;457;54549
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";199;72;555;124;1022;75;150;692;479;1945;1128;731;2333;642;282;2372;5171;881;3859;10089;2338;1140;2003;548;521;1145;590;41086
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";1899;732;2697;523;7304;600;1305;5573;3285;10041;4553;6475;15186;3454;2961;16159;36532;6082;43347;87522;15122;9432;18974;4291;4243;9277;2656;320225
". 085 D glomerulares e d renais túbulo-interstic";181;26;246;39;606;88;90;706;231;1070;854;436;3221;385;651;1640;5171;414;4879;9580;1276;657;1292;313;199;1718;299;36268
". 086 Insuficiência renal";1070;489;1236;284;4053;354;589;3040;1734;4441;1227;2321;2924;1148;582;7169;11882;1869;11279;22374;5146;3096;7634;1408;2483;2971;764;103567
". 087 Rest doenças do aparelho geniturinário";648;217;1215;200;2645;158;626;1827;1320;4530;2472;3718;9041;1921;1728;7350;19479;3799;27189;55568;8700;5679;10048;2570;1561;4588;1593;180390
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";110;53;421;127;745;83;125;588;310;591;239;267;528;218;151;784;881;235;1267;1934;596;300;439;176;296;447;196;12107
". 088 Gravidez que termina em aborto";6;8;34;23;49;6;3;45;9;23;9;11;24;20;3;61;49;8;82;113;14;15;19;15;15;21;14;699
". 089 Outras causas obstétricas diretas";33;34;191;48;369;43;51;326;167;265;94;110;250;114;75;357;446;85;379;747;238;113;168;67;122;204;56;5152
". 090 Causas obstétricas indiretas";57;11;160;47;221;24;60;174;76;196;99;113;156;68;47;266;272;92;519;776;251;110;160;64;122;176;93;4410
". 091 Causa obstétrica não espec direta/indireta";5;-;17;1;28;1;4;2;5;6;2;6;10;3;6;23;29;3;32;65;32;7;7;5;3;6;4;312
". 092 Causas maternas tardias e sequelas";9;-;19;8;78;9;7;41;53;101;35;27;88;13;20;77;85;47;255;233;61;55;85;25;34;40;29;1534
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";1038;808;3344;626;6615;873;908;4863;2301;4737;1824;2511;5614;2213;1778;9229;9339;1899;7987;19942;4835;3078;4351;1426;2330;3185;1970;109624
". 093 Feto e recemnasc afet fat mat e compl grav";365;156;1042;108;1161;340;374;1059;1009;935;617;595;2080;338;623;1822;2504;643;2466;7045;2681;981;1525;344;558;1265;1152;33788
". 094 Transt relac duração gestação e cresc fetal";55;65;109;33;796;74;39;651;148;660;152;141;530;87;146;1230;783;111;481;1329;231;206;328;106;202;90;107;8890
". 095 Traumatismo de parto";1;1;12;2;24;2;4;9;8;17;6;7;10;11;4;22;28;2;4;31;4;13;7;4;8;9;6;256
". 096 Trans resp e cardiovas espec per perinatal";254;272;1325;300;2866;226;205;1739;633;1657;506;926;1476;945;487;3480;3111;593;2666;5658;1010;1023;1333;469;796;927;391;35274
". 097 Rest afec originadas no período perinatal";363;314;856;183;1768;231;286;1405;503;1468;543;842;1518;832;518;2675;2913;550;2370;5879;909;855;1158;503;766;894;314;31416
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";490;366;1925;329;2693;403;543;2190;1303;2744;961;1187;3427;911;844;4239;5601;1394;4150;12132;3599;2022;3272;966;1304;2165;1358;62518
". 098 Malformações congênitas do sistema nervoso";103;78;393;51;474;84;117;381;220;472;174;207;544;176;143;631;772;213;576;1536;488;289;400;165;246;319;203;9455
". 099 Malf congênitas do aparelho circulatório";182;127;772;141;1074;153;197;859;479;1074;337;426;1197;362;324;1652;2141;489;1533;4638;1246;722;1244;385;417;957;468;23596
". 100 Rest de malf cong, deform e anomal Cromoss";205;161;760;137;1145;166;229;950;604;1198;450;554;1686;373;377;1956;2688;692;2041;5958;1865;1011;1628;416;641;889;687;29467
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";3929;2410;12025;713;20283;1258;1384;12510;6691;10966;4721;9741;17710;7426;6632;60812;63623;1366;80586;93622;11770;7749;27303;3812;6967;4337;1918;482264
". 101 Senilidade";172;21;226;104;624;73;70;658;413;609;316;605;1341;304;559;2781;2393;225;3281;5222;748;443;1223;359;373;280;88;23511
". 102 Morte sem assistência médica";266;225;2274;27;6293;19;73;2288;2466;483;60;1606;3218;271;465;4828;3892;28;100;18676;2314;547;403;284;563;384;20;52073
". 103 Rest sint, sin e ach anorm clín e laborat";3491;2164;9525;582;13366;1166;1241;9564;3812;9874;4345;7530;13151;6851;5608;53203;57338;1113;77205;69724;8708;6759;25677;3169;6031;3673;1810;406680
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";8649;3335;18445;3628;37985;4323;9025;29330;16109;49037;14926;17802;51324;15666;11361;81111;83455;22667;78113;140450;55326;28197;46239;12878;20423;35607;9425;904836
". 104 Acidentes de transporte";2754;687;2973;886;10106;560;3366;8558;5979;10876;2715;4995;9558;3914;2585;15906;20057;5006;10434;30680;15867;8599;10205;4110;7292;10093;1949;210710
". 105 Quedas";514;121;939;165;2410;233;830;1742;1317;3634;1198;2160;5137;1440;1190;5447;12343;3538;6996;22270;9313;4864;7778;1237;1813;4994;1927;105550
". 106 Afogamento e submersões acidentais";363;184;1160;215;1908;328;370;1360;637;1668;520;615;1422;622;298;2894;2584;851;1619;3749;1377;1144;1358;417;891;1144;178;29876
". 107 Exposição à fumaça, ao fogo e às chamas";47;13;107;9;87;10;25;115;83;111;47;60;221;110;39;314;485;129;910;1097;517;206;525;85;96;207;53;5708
". 108 Envenen, intoxic por ou expos a subst nociv";25;6;272;21;36;23;22;62;86;119;16;30;203;9;16;138;537;207;1344;837;284;246;172;62;28;163;341;5305
". 109 Lesões autoprovocadas voluntariamente";896;524;1842;341;2690;392;921;2320;2160;4456;1474;1827;3204;1000;853;4963;11042;1679;4681;15713;6558;5364;9116;1842;1757;4035;1419;93069
". 110 Agressões";3001;1444;9422;1330;16617;1989;2518;11650;4296;18913;6771;6451;21325;6787;4731;35132;16191;6997;22069;18095;12101;4064;11725;2955;6156;10002;2299;265031
". 111 Eventos(fatos) cuja intenção é indeterminada";427;84;476;339;1319;126;362;612;637;6760;1056;371;5214;483;742;6323;12339;1634;14279;28336;3091;1369;1415;815;728;1546;280;91163
". 112 Intervenções legais e operações de guerra";11;-;-;21;413;447;52;3;8;53;54;2;30;231;13;4635;98;36;2600;786;1666;203;42;271;179;1039;40;12933
". 113 Todas as outras causas externas";611;272;1254;301;2399;215;559;2908;906;2447;1075;1291;5010;1070;894;5359;7779;2590;13181;18887;4552;2138;3903;1084;1483;2384;939;85491
"Total";62816;27673;131358;20019;277130;24669;56558;236884;144882;388857;143256;183681;434483;136365;90599;629488;963473;171273;948597;2135589;533665;300769;597873;119758;136803;280498;104145;9281161
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
