Causa - CID-BR-10,UF,Obitos
. 005-006 Tuberculose,PA,1737
... 005 Tuberculose respiratória,PA,1627
... 006 Outras tuberculoses,PA,110
. 007-015 Outras doenças bacterianas,PA,5755
... 008 Leptospirose,PA,104
... 009 Hanseníase,PA,55
... 010 Tétano,PA,20
..... 010.1 Tétano neonatal,PA,0
..... 010.3 Tétano acidental,PA,20
... 011 Difteria,PA,0
... 012 Coqueluche,PA,1
... 013 Infecção meningocócica,PA,19
... 014 Septicemia,PA,3736
... 015 Infecções com transmissão predom sexual,PA,93
. 016-023 Doenças virais,PA,4621
... 017 Raiva,PA,0
... 018 Dengue,PA,24
... 019 Febre amarela,PA,3
... 020 Out febres p/arbovírus e febr hemor virais,PA,55
... 021 Sarampo,PA,13
... 022 Hepatite viral,PA,291
... 023 Doen p/vírus da imunodefic humana (HIV),PA,4119
. 024-027 Doenças transmitidas por protozoários,PA,266
... 024 Malária,PA,23
... 025 Leishmaniose,PA,97
... 026 Doença de Chagas,PA,100
... 027 Toxoplasmose,PA,31
. 028-030 Helmintíases,PA,33
... 028 Esquistossomose,PA,3
... 029 Cisticercose,PA,6
... 030 Restante de helmintíases,PA,24
. 031 Restante algumas doenç infec e parasitárias,PA,20471
032-052 NEOPLASIAS,PA,33239
". 032 Neopl malig do lábio, cav oral e faringe",PA,928
. 033 Neoplasia maligna do esôfago,PA,662
. 034 Neoplasia maligna do estômago,PA,3598
". 035 Neoplasia maligna do cólon,reto e ânus",PA,2137
. 036 Neopl malig do fígado e vias bil intrahepát,PA,1681
. 037 Neoplasia maligna do pâncreas,PA,1230
. 038 Neoplasia maligna da laringe,PA,524
". 039 Neopl malig da traquéia,brônquios e pulmões",PA,3538
. 040 Neoplasia maligna da pele,PA,125
. 041 Neoplasia maligna da mama,PA,2256
. 042 Neoplasia maligna do colo do útero,PA,2290
. 043 Neopl malig de corpo e partes n/esp útero,PA,524
. 044 Neoplasia maligna do ovário,PA,513
. 045 Neoplasia maligna da próstata,PA,2409
. 046 Neoplasia maligna da bexiga,PA,412
". 047 Neopl malig mening,encéf e out partes SNC",PA,1499
. 048 Linfoma não-Hodgkin,PA,465
. 049 Mieloma mult e neopl malig de plasmócitos,PA,353
. 050 Leucemia,PA,1113
". 051 Neoplasias in situ, benig, comport incert",PA,1038
. 052 Restante de neoplasias malignas,PA,5944
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,PA,1569
. 053 Anemias,PA,1079
". 054 Rest d sangue, org hemat e alg transt imunit",PA,490
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",PA,17206
. 055 Diabetes mellitus,PA,14064
. 056 Desnutrição,PA,1315
". 057 Rest doenças endócr, nutricion e metabólicas",PA,1827
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,PA,1598
. 058 Transt ment e comport uso subst psicoativas,PA,902
... 058.1 Trans ment e comport devid uso álcool,PA,541
. 059 Rest transtornos mentais e comportamentais,PA,696
060-063 DOENÇAS DO SISTEMA NERVOSO,PA,5779
. 060 Meningite,PA,142
. 061 Doença de Alzheimer,PA,2308
. 062 Epilepsia,PA,533
. 063 Restante das doenças do sistema nervoso,PA,2796
064 DOENÇAS DOS OLHOS E ANEXOS,PA,6
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,PA,27
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,PA,62701
. 066 Febre reumát aguda e doen reum crôn coração,PA,310
. 067 Doenças hipertensivas,PA,9237
. 068 Doenças isquêmicas do coração,PA,20274
... 068.1 Infarto agudo do miocárdio,PA,18545
. 069 Outras doenças cardíacas,PA,10425
. 070 Doenças cerebrovasculares,PA,20426
. 071 Aterosclerose,PA,39
. 072 Rest doenças do aparelho circulatório,PA,1990
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,PA,30784
. 073 Influenza (gripe),PA,457
. 074 Pneumonia,PA,16478
. 075 Out infec agudas das vias aéreas inferiores,PA,156
... 075.1 Bronquiolite,PA,86
. 076 Doenças crônicas das vias aéreas inferiores,PA,7114
... 076.1 Asma,PA,388
. 077 Restante  doenças do aparelho respiratório,PA,6579
078-082 DOENÇAS DO APARELHO DIGESTIVO,PA,11967
". 078 Úlcera gástrica, duodenal e péptica",PA,840
. 079 Peritonite,PA,311
. 080 Doenças do fígado,PA,4058
... 080.1 Doença alcoólica do fígado,PA,1231
... 080.2 Fibrose e cirrose do fígado,PA,1716
... 080.3 Outras doenças do fígado,PA,1111
. 081 Colecistite,PA,376
. 082 Rest doenças do aparelho digestivo,PA,6382
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,PA,1542
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,PA,1022
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,PA,7304
. 085 D glomerulares e d renais túbulo-interstic,PA,606
. 086 Insuficiência renal,PA,4053
. 087 Rest doenças do aparelho geniturinário,PA,2645
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",PA,745
. 088 Gravidez que termina em aborto,PA,49
. 089 Outras causas obstétricas diretas,PA,369
. 090 Causas obstétricas indiretas,PA,221
. 091 Causa obstétrica não espec direta/indireta,PA,28
. 092 Causas maternas tardias e sequelas,PA,78
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,PA,6615
. 093 Feto e recemnasc afet fat mat e compl grav,PA,1161
. 094 Transt relac duração gestação e cresc fetal,PA,796
. 095 Traumatismo de parto,PA,24
. 096 Trans resp e cardiovas espec per perinatal,PA,2866
. 097 Rest afec originadas no período perinatal,PA,1768
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",PA,2693
. 098 Malformações congênitas do sistema nervoso,PA,474
. 099 Malf congênitas do aparelho circulatório,PA,1074
". 100 Rest de malf cong, deform e anomal Cromoss",PA,1145
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",PA,20283
. 101 Senilidade,PA,624
. 102 Morte sem assistência médica,PA,6293
". 103 Rest sint, sin e ach anorm clín e laborat",PA,13366
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,PA,37985
. 104 Acidentes de transporte,PA,10106
. 105 Quedas,PA,2410
. 106 Afogamento e submersões acidentais,PA,1908
". 107 Exposição à fumaça, ao fogo e às chamas",PA,87
". 108 Envenen, intoxic por ou expos a subst nociv",PA,36
. 109 Lesões autoprovocadas voluntariamente,PA,2690
. 110 Agressões,PA,16617
. 111 Eventos(fatos) cuja intenção é indeterminada,PA,1319
. 112 Intervenções legais e operações de guerra,PA,413
. 113 Todas as outras causas externas,PA,2399
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,AP,3539
. 001 Doenças infecciosas intestinais,AP,61
... 003 Diarréia e gastroenterite orig infec pres,AP,48
... 004 Outras doenças infecciosas intestinais,AP,13
..... 004.1 Febres tifóide e paratifóide,AP,0
. 005-006 Tuberculose,AP,94
... 005 Tuberculose respiratória,AP,86
... 006 Outras tuberculoses,AP,8
. 007-015 Outras doenças bacterianas,AP,549
... 008 Leptospirose,AP,12
... 009 Hanseníase,AP,1
... 010 Tétano,AP,5
..... 010.1 Tétano neonatal,AP,0
..... 010.3 Tétano acidental,AP,5
... 011 Difteria,AP,0
... 012 Coqueluche,AP,0
... 013 Infecção meningocócica,AP,1
... 014 Septicemia,AP,466
... 015 Infecções com transmissão predom sexual,AP,24
. 016-023 Doenças virais,AP,382
... 017 Raiva,AP,0
... 018 Dengue,AP,11
... 019 Febre amarela,AP,2
... 020 Out febres p/arbovírus e febr hemor virais,AP,20
... 021 Sarampo,AP,2
... 022 Hepatite viral,AP,18
... 023 Doen p/vírus da imunodefic humana (HIV),AP,319
. 024-027 Doenças transmitidas por protozoários,AP,38
... 024 Malária,AP,16
... 025 Leishmaniose,AP,2
... 026 Doença de Chagas,AP,15
... 027 Toxoplasmose,AP,5
. 028-030 Helmintíases,AP,2
... 028 Esquistossomose,AP,0
... 029 Cisticercose,AP,0
... 030 Restante de helmintíases,AP,2
. 031 Restante algumas doenç infec e parasitárias,AP,2413
032-052 NEOPLASIAS,AP,2979
". 032 Neopl malig do lábio, cav oral e faringe",AP,90
. 033 Neoplasia maligna do esôfago,AP,95
. 034 Neoplasia maligna do estômago,AP,365
". 035 Neoplasia maligna do cólon,reto e ânus",AP,128
. 036 Neopl malig do fígado e vias bil intrahepát,AP,147
. 037 Neoplasia maligna do pâncreas,AP,97
. 038 Neoplasia maligna da laringe,AP,52
". 039 Neopl malig da traquéia,brônquios e pulmões",AP,328
. 040 Neoplasia maligna da pele,AP,10
. 041 Neoplasia maligna da mama,AP,143
. 042 Neoplasia maligna do colo do útero,AP,219
. 043 Neopl malig de corpo e partes n/esp útero,AP,88
. 044 Neoplasia maligna do ovário,AP,35
. 045 Neoplasia maligna da próstata,AP,227
. 046 Neoplasia maligna da bexiga,AP,28
". 047 Neopl malig mening,encéf e out partes SNC",AP,120
. 048 Linfoma não-Hodgkin,AP,49
. 049 Mieloma mult e neopl malig de plasmócitos,AP,31
. 050 Leucemia,AP,85
". 051 Neoplasias in situ, benig, comport incert",AP,49
. 052 Restante de neoplasias malignas,AP,593
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,AP,121
. 053 Anemias,AP,68
". 054 Rest d sangue, org hemat e alg transt imunit",AP,53
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",AP,1392
. 055 Diabetes mellitus,AP,1189
. 056 Desnutrição,AP,62
". 057 Rest doenças endócr, nutricion e metabólicas",AP,141
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,AP,128
. 058 Transt ment e comport uso subst psicoativas,AP,99
... 058.1 Trans ment e comport devid uso álcool,AP,62
. 059 Rest transtornos mentais e comportamentais,AP,29
060-063 DOENÇAS DO SISTEMA NERVOSO,AP,444
. 060 Meningite,AP,21
. 061 Doença de Alzheimer,AP,130
. 062 Epilepsia,AP,46
. 063 Restante das doenças do sistema nervoso,AP,247
064 DOENÇAS DOS OLHOS E ANEXOS,AP,0
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,AP,4
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,AP,4851
. 066 Febre reumát aguda e doen reum crôn coração,AP,34
. 067 Doenças hipertensivas,AP,724
. 068 Doenças isquêmicas do coração,AP,1454
... 068.1 Infarto agudo do miocárdio,AP,1256
. 069 Outras doenças cardíacas,AP,845
. 070 Doenças cerebrovasculares,AP,1672
. 071 Aterosclerose,AP,2
. 072 Rest doenças do aparelho circulatório,AP,120
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,AP,2621
. 073 Influenza (gripe),AP,17
. 074 Pneumonia,AP,1465
. 075 Out infec agudas das vias aéreas inferiores,AP,10
... 075.1 Bronquiolite,AP,7
. 076 Doenças crônicas das vias aéreas inferiores,AP,614
... 076.1 Asma,AP,20
. 077 Restante  doenças do aparelho respiratório,AP,515
078-082 DOENÇAS DO APARELHO DIGESTIVO,AP,901
". 078 Úlcera gástrica, duodenal e péptica",AP,33
. 079 Peritonite,AP,20
. 080 Doenças do fígado,AP,356
... 080.1 Doença alcoólica do fígado,AP,108
... 080.2 Fibrose e cirrose do fígado,AP,140
... 080.3 Outras doenças do fígado,AP,108
. 081 Colecistite,AP,38
. 082 Rest doenças do aparelho digestivo,AP,454
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,AP,74
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,AP,75
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,AP,600
. 085 D glomerulares e d renais túbulo-interstic,AP,88
. 086 Insuficiência renal,AP,354
. 087 Rest doenças do aparelho geniturinário,AP,158
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",AP,83
. 088 Gravidez que termina em aborto,AP,6
. 089 Outras causas obstétricas diretas,AP,43
. 090 Causas obstétricas indiretas,AP,24
. 091 Causa obstétrica não espec direta/indireta,AP,1
. 092 Causas maternas tardias e sequelas,AP,9
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,AP,873
. 093 Feto e recemnasc afet fat mat e compl grav,AP,340
. 094 Transt relac duração gestação e cresc fetal,AP,74
. 095 Traumatismo de parto,AP,2
. 096 Trans resp e cardiovas espec per perinatal,AP,226
. 097 Rest afec originadas no período perinatal,AP,231
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",AP,403
. 098 Malformações congênitas do sistema nervoso,AP,84
. 099 Malf congênitas do aparelho circulatório,AP,153
". 100 Rest de malf cong, deform e anomal Cromoss",AP,166
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",AP,1258
. 101 Senilidade,AP,73
. 102 Morte sem assistência médica,AP,19
". 103 Rest sint, sin e ach anorm clín e laborat",AP,1166
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,AP,4323
. 104 Acidentes de transporte,AP,560
. 105 Quedas,AP,233
. 106 Afogamento e submersões acidentais,AP,328
". 107 Exposição à fumaça, ao fogo e às chamas",AP,10
". 108 Envenen, intoxic por ou expos a subst nociv",AP,23
. 109 Lesões autoprovocadas voluntariamente,AP,392
. 110 Agressões,AP,1989
. 111 Eventos(fatos) cuja intenção é indeterminada,AP,126
. 112 Intervenções legais e operações de guerra,AP,447
. 113 Todas as outras causas externas,AP,215
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,TO,6276
. 001 Doenças infecciosas intestinais,TO,143
... 003 Diarréia e gastroenterite orig infec pres,TO,100
... 004 Outras doenças infecciosas intestinais,TO,43
..... 004.1 Febres tifóide e paratifóide,TO,0
. 005-006 Tuberculose,TO,94
... 005 Tuberculose respiratória,TO,85
... 006 Outras tuberculoses,TO,9
. 007-015 Outras doenças bacterianas,TO,485
... 008 Leptospirose,TO,1
... 009 Hanseníase,TO,28
... 010 Tétano,TO,2
..... 010.1 Tétano neonatal,TO,0
..... 010.3 Tétano acidental,TO,2
... 011 Difteria,TO,0
... 012 Coqueluche,TO,0
... 013 Infecção meningocócica,TO,3
... 014 Septicemia,TO,344
... 015 Infecções com transmissão predom sexual,TO,6
. 016-023 Doenças virais,TO,481
... 017 Raiva,TO,1
... 018 Dengue,TO,11
... 019 Febre amarela,TO,0
... 020 Out febres p/arbovírus e febr hemor virais,TO,39
... 021 Sarampo,TO,0
... 022 Hepatite viral,TO,50
... 023 Doen p/vírus da imunodefic humana (HIV),TO,367
. 024-027 Doenças transmitidas por protozoários,TO,280
... 024 Malária,TO,1
... 025 Leishmaniose,TO,73
... 026 Doença de Chagas,TO,203
... 027 Toxoplasmose,TO,1
. 028-030 Helmintíases,TO,7
... 028 Esquistossomose,TO,2
... 029 Cisticercose,TO,3
... 030 Restante de helmintíases,TO,2
. 031 Restante algumas doenç infec e parasitárias,TO,4786
032-052 NEOPLASIAS,TO,7438
". 032 Neopl malig do lábio, cav oral e faringe",TO,233
. 033 Neoplasia maligna do esôfago,TO,242
. 034 Neoplasia maligna do estômago,TO,441
". 035 Neoplasia maligna do cólon,reto e ânus",TO,508
. 036 Neopl malig do fígado e vias bil intrahepát,TO,410
. 037 Neoplasia maligna do pâncreas,TO,353
. 038 Neoplasia maligna da laringe,TO,166
". 039 Neopl malig da traquéia,brônquios e pulmões",TO,886
. 040 Neoplasia maligna da pele,TO,50
. 041 Neoplasia maligna da mama,TO,465
. 042 Neoplasia maligna do colo do útero,TO,369
. 043 Neopl malig de corpo e partes n/esp útero,TO,121
. 044 Neoplasia maligna do ovário,TO,125
. 045 Neoplasia maligna da próstata,TO,774
. 046 Neoplasia maligna da bexiga,TO,121
". 047 Neopl malig mening,encéf e out partes SNC",TO,352
. 048 Linfoma não-Hodgkin,TO,97
. 049 Mieloma mult e neopl malig de plasmócitos,TO,125
. 050 Leucemia,TO,208
". 051 Neoplasias in situ, benig, comport incert",TO,132
. 052 Restante de neoplasias malignas,TO,1260
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,TO,255
. 053 Anemias,TO,192
". 054 Rest d sangue, org hemat e alg transt imunit",TO,63
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",TO,4046
. 055 Diabetes mellitus,TO,3404
. 056 Desnutrição,TO,181
". 057 Rest doenças endócr, nutricion e metabólicas",TO,461
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,TO,794
. 058 Transt ment e comport uso subst psicoativas,TO,668
... 058.1 Trans ment e comport devid uso álcool,TO,538
. 059 Rest transtornos mentais e comportamentais,TO,126
060-063 DOENÇAS DO SISTEMA NERVOSO,TO,1338
. 060 Meningite,TO,32
. 061 Doença de Alzheimer,TO,550
. 062 Epilepsia,TO,202
. 063 Restante das doenças do sistema nervoso,TO,554
064 DOENÇAS DOS OLHOS E ANEXOS,TO,1
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,TO,10
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,TO,15088
. 066 Febre reumát aguda e doen reum crôn coração,TO,98
. 067 Doenças hipertensivas,TO,3240
. 068 Doenças isquêmicas do coração,TO,4452
... 068.1 Infarto agudo do miocárdio,TO,3970
. 069 Outras doenças cardíacas,TO,2294
. 070 Doenças cerebrovasculares,TO,4354
. 071 Aterosclerose,TO,17
. 072 Rest doenças do aparelho circulatório,TO,633
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,TO,4896
. 073 Influenza (gripe),TO,95
. 074 Pneumonia,TO,2098
. 075 Out infec agudas das vias aéreas inferiores,TO,47
... 075.1 Bronquiolite,TO,26
. 076 Doenças crônicas das vias aéreas inferiores,TO,1966
... 076.1 Asma,TO,109
. 077 Restante  doenças do aparelho respiratório,TO,690
078-082 DOENÇAS DO APARELHO DIGESTIVO,TO,2801
". 078 Úlcera gástrica, duodenal e péptica",TO,207
. 079 Peritonite,TO,51
. 080 Doenças do fígado,TO,1005
... 080.1 Doença alcoólica do fígado,TO,542
... 080.2 Fibrose e cirrose do fígado,TO,263
... 080.3 Outras doenças do fígado,TO,200
. 081 Colecistite,TO,54
. 082 Rest doenças do aparelho digestivo,TO,1484
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,TO,175
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,TO,150
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,TO,1305
. 085 D glomerulares e d renais túbulo-interstic,TO,90
. 086 Insuficiência renal,TO,589
. 087 Rest doenças do aparelho geniturinário,TO,626
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",TO,125
. 088 Gravidez que termina em aborto,TO,3
. 089 Outras causas obstétricas diretas,TO,51
. 090 Causas obstétricas indiretas,TO,60
. 091 Causa obstétrica não espec direta/indireta,TO,4
. 092 Causas maternas tardias e sequelas,TO,7
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,TO,908
. 093 Feto e recemnasc afet fat mat e compl grav,TO,374
. 094 Transt relac duração gestação e cresc fetal,TO,39
. 095 Traumatismo de parto,TO,4
. 096 Trans resp e cardiovas espec per perinatal,TO,205
. 097 Rest afec originadas no período perinatal,TO,286
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",TO,543
. 098 Malformações congênitas do sistema nervoso,TO,117
. 099 Malf congênitas do aparelho circulatório,TO,197
". 100 Rest de malf cong, deform e anomal Cromoss",TO,229
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",TO,1384
. 101 Senilidade,TO,70
. 102 Morte sem assistência médica,TO,73
". 103 Rest sint, sin e ach anorm clín e laborat",TO,1241
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,TO,9025
. 104 Acidentes de transporte,TO,3366
. 105 Quedas,TO,830
. 106 Afogamento e submersões acidentais,TO,370
". 107 Exposição à fumaça, ao fogo e às chamas",TO,25
". 108 Envenen, intoxic por ou expos a subst nociv",TO,22
. 109 Lesões autoprovocadas voluntariamente,TO,921
. 110 Agressões,TO,2518
. 111 Eventos(fatos) cuja intenção é indeterminada,TO,362
. 112 Intervenções legais e operações de guerra,TO,52
. 113 Todas as outras causas externas,TO,559
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,MA,23599
. 001 Doenças infecciosas intestinais,MA,1027
... 003 Diarréia e gastroenterite orig infec pres,MA,550
... 004 Outras doenças infecciosas intestinais,MA,477
..... 004.1 Febres tifóide e paratifóide,MA,2
. 005-006 Tuberculose,MA,1167
... 005 Tuberculose respiratória,MA,1101
... 006 Outras tuberculoses,MA,66
. 007-015 Outras doenças bacterianas,MA,4567
... 008 Leptospirose,MA,25
... 009 Hanseníase,MA,99
... 010 Tétano,MA,33
..... 010.1 Tétano neonatal,MA,0
..... 010.3 Tétano acidental,MA,33
... 011 Difteria,MA,11
... 012 Coqueluche,MA,2
... 013 Infecção meningocócica,MA,13
... 014 Septicemia,MA,3847
... 015 Infecções com transmissão predom sexual,MA,54
. 016-023 Doenças virais,MA,2645
... 017 Raiva,MA,0
... 018 Dengue,MA,23
... 019 Febre amarela,MA,0
... 020 Out febres p/arbovírus e febr hemor virais,MA,77
... 021 Sarampo,MA,0
... 022 Hepatite viral,MA,219
... 023 Doen p/vírus da imunodefic humana (HIV),MA,2252
. 024-027 Doenças transmitidas por protozoários,MA,264
... 024 Malária,MA,7
... 025 Leishmaniose,MA,186
... 026 Doença de Chagas,MA,42
... 027 Toxoplasmose,MA,14
. 028-030 Helmintíases,MA,43
... 028 Esquistossomose,MA,19
... 029 Cisticercose,MA,6
... 030 Restante de helmintíases,MA,18
. 031 Restante algumas doenç infec e parasitárias,MA,13886
032-052 NEOPLASIAS,MA,27446
". 032 Neopl malig do lábio, cav oral e faringe",MA,735
. 033 Neoplasia maligna do esôfago,MA,587
. 034 Neoplasia maligna do estômago,MA,1901
". 035 Neoplasia maligna do cólon,reto e ânus",MA,1498
. 036 Neopl malig do fígado e vias bil intrahepát,MA,1774
. 037 Neoplasia maligna do pâncreas,MA,1035
. 038 Neoplasia maligna da laringe,MA,408
". 039 Neopl malig da traquéia,brônquios e pulmões",MA,3157
. 040 Neoplasia maligna da pele,MA,116
. 041 Neoplasia maligna da mama,MA,1713
. 042 Neoplasia maligna do colo do útero,MA,2091
. 043 Neopl malig de corpo e partes n/esp útero,MA,336
. 044 Neoplasia maligna do ovário,MA,448
. 045 Neoplasia maligna da próstata,MA,2370
. 046 Neoplasia maligna da bexiga,MA,334
". 047 Neopl malig mening,encéf e out partes SNC",MA,1129
. 048 Linfoma não-Hodgkin,MA,441
. 049 Mieloma mult e neopl malig de plasmócitos,MA,435
. 050 Leucemia,MA,930
". 051 Neoplasias in situ, benig, comport incert",MA,809
. 052 Restante de neoplasias malignas,MA,5199
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,MA,1310
. 053 Anemias,MA,883
". 054 Rest d sangue, org hemat e alg transt imunit",MA,427
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",MA,19201
. 055 Diabetes mellitus,MA,16363
. 056 Desnutrição,MA,912
". 057 Rest doenças endócr, nutricion e metabólicas",MA,1926
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,MA,2293
. 058 Transt ment e comport uso subst psicoativas,MA,1775
... 058.1 Trans ment e comport devid uso álcool,MA,1169
. 059 Rest transtornos mentais e comportamentais,MA,518
060-063 DOENÇAS DO SISTEMA NERVOSO,MA,4650
. 060 Meningite,MA,99
. 061 Doença de Alzheimer,MA,1801
. 062 Epilepsia,MA,484
. 063 Restante das doenças do sistema nervoso,MA,2266
064 DOENÇAS DOS OLHOS E ANEXOS,MA,5
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,MA,56
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,MA,66681
. 066 Febre reumát aguda e doen reum crôn coração,MA,305
. 067 Doenças hipertensivas,MA,11911
. 068 Doenças isquêmicas do coração,MA,20642
... 068.1 Infarto agudo do miocárdio,MA,18889
. 069 Outras doenças cardíacas,MA,9817
. 070 Doenças cerebrovasculares,MA,21496
. 071 Aterosclerose,MA,129
. 072 Rest doenças do aparelho circulatório,MA,2381
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,MA,22323
. 073 Influenza (gripe),MA,497
. 074 Pneumonia,MA,11111
. 075 Out infec agudas das vias aéreas inferiores,MA,162
... 075.1 Bronquiolite,MA,105
. 076 Doenças crônicas das vias aéreas inferiores,MA,5150
... 076.1 Asma,MA,408
. 077 Restante  doenças do aparelho respiratório,MA,5403
078-082 DOENÇAS DO APARELHO DIGESTIVO,MA,12052
". 078 Úlcera gástrica, duodenal e péptica",MA,1175
. 079 Peritonite,MA,218
. 080 Doenças do fígado,MA,4444
... 080.1 Doença alcoólica do fígado,MA,1890
... 080.2 Fibrose e cirrose do fígado,MA,1303
... 080.3 Outras doenças do fígado,MA,1251
. 081 Colecistite,MA,202
. 082 Rest doenças do aparelho digestivo,MA,6013
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,MA,1522
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,MA,692
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,MA,5573
. 085 D glomerulares e d renais túbulo-interstic,MA,706
. 086 Insuficiência renal,MA,3040
. 087 Rest doenças do aparelho geniturinário,MA,1827
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",MA,588
. 088 Gravidez que termina em aborto,MA,45
. 089 Outras causas obstétricas diretas,MA,326
. 090 Causas obstétricas indiretas,MA,174
. 091 Causa obstétrica não espec direta/indireta,MA,2
. 092 Causas maternas tardias e sequelas,MA,41
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,MA,4863
. 093 Feto e recemnasc afet fat mat e compl grav,MA,1059
. 094 Transt relac duração gestação e cresc fetal,MA,651
. 095 Traumatismo de parto,MA,9
. 096 Trans resp e cardiovas espec per perinatal,MA,1739
. 097 Rest afec originadas no período perinatal,MA,1405
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",MA,2190
. 098 Malformações congênitas do sistema nervoso,MA,381
. 099 Malf congênitas do aparelho circulatório,MA,859
". 100 Rest de malf cong, deform e anomal Cromoss",MA,950
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",MA,12510
. 101 Senilidade,MA,658
. 102 Morte sem assistência médica,MA,2288
". 103 Rest sint, sin e ach anorm clín e laborat",MA,9564
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,MA,29330
. 104 Acidentes de transporte,MA,8558
. 105 Quedas,MA,1742
. 106 Afogamento e submersões acidentais,MA,1360
". 107 Exposição à fumaça, ao fogo e às chamas",MA,115
". 108 Envenen, intoxic por ou expos a subst nociv",MA,62
. 109 Lesões autoprovocadas voluntariamente,MA,2320
. 110 Agressões,MA,11650
. 111 Eventos(fatos) cuja intenção é indeterminada,MA,612
. 112 Intervenções legais e operações de guerra,MA,3
. 113 Todas as outras causas externas,MA,2908
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,PI,13937
. 001 Doenças infecciosas intestinais,PI,1012
... 003 Diarréia e gastroenterite orig infec pres,PI,811
... 004 Outras doenças infecciosas intestinais,PI,201
..... 004.1 Febres tifóide e paratifóide,PI,0
. 005-006 Tuberculose,PI,470
... 005 Tuberculose respiratória,PI,432
... 006 Outras tuberculoses,PI,38
. 007-015 Outras doenças bacterianas,PI,2129
... 008 Leptospirose,PI,2
... 009 Hanseníase,PI,40
... 010 Tétano,PI,8
..... 010.1 Tétano neonatal,PI,0
..... 010.3 Tétano acidental,PI,8
... 011 Difteria,PI,1
... 012 Coqueluche,PI,1
