DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (R$)
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,2845.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,1964.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,2714.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,3488.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,3288.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,2063.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,2459.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,3553.0
2012-04-01,PNADCT_RRETUF,2012-04-01T00:00:00-03:00,1,4,2012,3057.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3083.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3594.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2452.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2063.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3372.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3512.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2764.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,1999.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2764.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2644.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2003.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2051.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,5939.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2892.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3044.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,1673.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2748.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2983.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3139.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2159.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,1853.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2571.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,1834.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3407.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3268.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2095.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2626.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3253.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3320.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3397.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2270.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,3991.0
2012-07-01,PNADCT_RRETUF,2012-07-01T00:00:00-03:00,1,7,2012,2561.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2495.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,4057.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2291.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3434.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3358.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3191.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2553.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2091.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3240.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3363.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,1779.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2646.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,1881.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2240.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3163.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3099.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2739.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,1642.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3073.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2945.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,6151.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2014.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2012.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2873.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2727.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,1883.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2840.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3542.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3378.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2062.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,2478.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3673.0
2012-10-01,PNADCT_RRETUF,2012-10-01T00:00:00-03:00,1,10,2012,3106.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,3257.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,3781.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2517.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2172.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,3538.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,3726.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2807.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2021.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2786.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2644.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2102.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,2122.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,6270.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,3049.0
2013-01-01,PNADCT_RRETUF,2013-01-01T00:00:00-02:00,1,1,2013,3131.0
